Metric,Mean_5m,Mean_10m,Mean_30m,Mean_60m,MAE_10m,MAE_30m,MAE_60m,MAPE_10m,MAPE_30m,MAPE_60m,RMSE_10m,RMSE_30m,RMSE_60m,KS_10m,KS_pvalue_10m,KS_30m,KS_pvalue_30m,KS_60m,KS_pvalue_60m
time_kurtosis,3.4778791368222035,3.47629685543202,3.463526129563151,3.4433752868894443,0.010770774699343785,0.06425926560699602,0.1845675092052525,0.0023595030436224145,0.014203281400699343,0.04332675009491865,0.053379963876752395,0.34730244425723106,0.8320180506799478,0.000803847456180673,0.999796335530416,0.007030912339333728,3.1647200543619574e-08,0.022213168232609215,2.781451879844004e-78
centre_gravity,0.47098461334732106,0.4660770298007647,0.44797087372891203,0.42437024845647825,0.0068576410551671255,0.026495535922505413,0.05203833089398517,0.016251915248317542,0.060765952826085545,0.11864451741050057,0.010476462526973688,0.03873689801030746,0.07404757867186565,0.020170514765191272,1.2750759368288859e-64,0.08754229146077253,0.0,0.15657682111365911,0.0
centre_gravity_interpolated,0.4760700771368506,0.47607026360863497,0.4760692946620437,0.4760380777937797,0.0033353249401067804,0.011259760154026757,0.022575851666319,0.008336329125681826,0.027601744392181802,0.05496323437763818,0.004925174743318435,0.016906969413669183,0.03399357934075787,0.0006138972011242583,0.999999849861588,0.0018031509719121375,0.5955470824650576,0.0064638144764117555,5.10293880640592e-07
m1,1.8848315985766955,1.6956308271759648,1.3804431757826527,1.2385294488261471,0.7208614124063997,1.1335071992014043,1.2901426642011167,1.0789517662948889,1.6298116846226633,1.7935727809677924,2.238254810357236,2.7781468971901857,2.9249355712089624,0.04051996817645004,1.502036828970667e-259,0.09771151236190755,0.0,0.13618607416869236,0.0
m2,0.1100510096725654,0.1571985190744144,0.2648950041124456,0.3588307822476187,0.04714750940185135,0.15484399443989624,0.24877977257508146,0.5436178041191487,2.007781967507606,3.489289889210413,0.0631639858796934,0.18039743168680197,0.2784402229410567,0.23166498280812553,0.0,0.5540656236837685,0.0,0.7092742523805722,0.0
m3,0.4056843727001101,0.40417577588015924,0.39686126154079987,0.38209690785909656,0.004366104584001247,0.016569083718143755,0.03793567589978403,0.013334901160243141,0.04865791831748016,0.10808663152829616,0.014189208232389741,0.041850696823346877,0.08850837930237736,0.00336955235056563,0.03227606064962685,0.01997230580339321,2.296398672763843e-63,0.0525005987562388,0.0
m4,0.3780168757135442,0.37612758190948775,0.36695539530076193,0.3581586384505342,0.004813449491023167,0.017958693868579418,0.03829982392327128,0.015664283208407796,0.05560149111800361,0.11917218762639145,0.015430954770615839,0.04417987720163283,0.0856852686480128,0.004371608768544255,0.0019268208861214658,0.025601990898905136,7.48322418366827e-104,0.045967961723647144,0.0
m5,0.5338549558711353,0.5339010236796986,0.5356282729363052,0.5278948262045559,0.00506478095262762,0.01593036575480347,0.029745482929085538,0.012184693195524687,0.03976201603112595,0.0733413021015929,0.016681761124666912,0.0410973484700397,0.06874647009913903,0.000556086253933219,0.9999999967244031,0.00615273652247883,2.123633921686009e-06,0.01729373191687339,1.2931783570558953e-47
m1_wi,1.8848315985766955,1.6956308271759648,1.3804431757826527,1.2385294488261471,0.7208614124063997,1.1335071992014043,1.2901426642011167,1.0789517662948889,1.6298116846226633,1.7935727809677924,2.238254810357236,2.7781468971901857,2.9249355712089624,0.04051996817645004,1.502036828970667e-259,0.09771151236190755,0.0,0.13618607416869236,0.0
m2_wi,0.1100510096725654,0.1571985190744144,0.2648950041124456,0.3588307822476187,0.04714750940185135,0.15484399443989624,0.24877977257508146,0.5436178041191487,2.007781967507606,3.489289889210413,0.0631639858796934,0.18039743168680197,0.2784402229410567,0.23166498280812553,0.0,0.5540656236837685,0.0,0.7092742523805722,0.0
