Metric,Mean_5m,Mean_10m,Mean_30m,Mean_60m,MAE_10m,MAE_30m,MAE_60m,MAPE_10m,MAPE_30m,MAPE_60m,RMSE_10m,RMSE_30m,RMSE_60m,KS_10m,KS_pvalue_10m,KS_30m,KS_pvalue_30m,KS_60m,KS_pvalue_60m
skewness,2.9644243424030994,2.421600262731884,1.6451918717022624,1.2451640163861002,0.5663273870733161,1.3425896242271547,1.7630528490702497,0.24406660114412412,0.6418231146150959,1.1816072936150257,0.8852313947168947,1.8777417348837568,2.3743915006429446,0.10977630488815245,4.407829420634887e-13,0.2883181441590721,8.332857942663232e-89,0.4096934548467274,1.2135213973756024e-181
kurtosis,15.299889605814672,9.509504179853344,3.785363277389013,1.9029572062882039,6.11009332165148,11.69499152753583,13.652808888365904,1.631040015739066,2.6382525504184695,4.389346939912209,13.131393763250783,22.650215753759323,25.43454181528481,0.12427506213753108,1.1772797976415888e-16,0.3115161557580779,7.454441665813702e-104,0.43330571665285833,6.80166571416113e-204
relative_amp,12.518975655325066,9.15629703411609,5.404151752076111,3.914424501075296,3.374563235260343,7.119738917352058,8.610275942967892,0.2133163098793228,0.4599621319054226,0.5707263718856621,6.114164616536206,11.698757384026822,13.721612033934653,0.12013256006628004,1.3722668861100595e-15,0.32974316487158245,1.4898616858085374e-116,0.4768019884009942,1.1165417352837757e-248
peak_mean_ratio,12.565807761913037,9.199742649439225,5.448110742692373,3.976117259261418,3.37375852615197,7.119518755851076,8.592762324193355,0.20973779295319528,0.45445858594596694,0.5599872485567448,6.114222698368926,11.698525958940117,13.71711552679221,0.11971830985915492,1.746169251784283e-15,0.32974316487158245,1.4898616858085374e-116,0.4784589892294946,1.745691336268045e-250
PCI,4.705129710952481,7.8175910158626065,16.1819359540556,24.59360209140769,3.112461304910128,11.47680624310311,19.888472380455195,0.7842873122322208,3.263544557170449,6.142950920257129,4.144538960888087,13.621424731833686,22.587932964408143,0.304059652029826,6.993713441671183e-99,0.6495443247721624,0.0,0.7945318972659486,0.0
TCI,0.32259234775984436,0.32416817392775593,0.3197078289208795,0.2997304756677957,0.005808402717687442,0.023554044640337855,0.04909536002065891,0.031530379613764536,0.1221617495228919,0.23308786623418776,0.008791598295252393,0.035883159234267416,0.07326437566531364,0.013670256835128418,0.9778076843296241,0.02444076222038111,0.46673935899390145,0.06586578293289147,5.62939118238222e-05
asymm_d,-0.09171409642442009,-0.04134298838583434,0.05430670692931902,0.08879902519354402,0.3398586509605942,0.6357180927654645,0.7950441621810526,1.8723923841319763,2.905122185715797,4.158208042575836,0.4511963813895707,0.8247132193760329,1.037282055165092,0.0811930405965203,2.4185843542838676e-07,0.1396023198011599,6.406262826459249e-21,0.1155758077879039,1.8556525458008397e-14
Event Loading,-15.461759282515967,-15.7501445324284,-17.05682983668215,-18.23846078942411,10.229106200030232,18.90937329181187,25.405572398503555,3.228336040758065,6.1772477370982655,7.64677910058211,23.057551387696236,32.42131783046121,38.95407604299495,0.018227009113504555,0.8175654381540399,0.0347970173985087,0.10753475758837258,0.07249378624689312,6.13336806195734e-06
NRMSE_P,0.09132145816072956,0.12934962717481377,0.20529826014912975,0.2645691797845898,0.038483844241922124,0.11457332228666113,0.17455675227837614,,,,0.054195937749981174,0.1403171340016929,0.2045183482328111,0.1975973487986744,1.2737609481247437e-41,0.4888152444076222,6.099998309942033e-262,0.6313173156586578,0.0
skewp,0.007927322344903731,0.008239674421600375,0.014546805873479554,0.01960997702442081,0.029927770068842802,0.06165020654778346,0.08573540914938595,,,,0.08223389745937129,0.117847923972764,0.14072065662484803,0.017812758906379452,0.8384917424190282,0.05716652858326429,0.0007477066649789599,0.09859154929577464,1.2472360447134772e-10
gini,0.6552617227770283,0.6418242246594161,0.5999106263191688,0.5541005904355081,0.014721679972223418,0.059709874997343676,0.10986957566269966,0.025531261294451397,0.09741070650315357,0.1749618195183297,0.018894920837586128,0.07329359997537066,0.1354387651876535,0.03852526926263463,0.05558352937028945,0.14623032311516157,6.414424925604878e-23,0.2510356255178128,3.4273579600705195e-67
lorentz_asymetry,0.7106716063941036,0.7124116803884988,0.7318839859867505,0.7766772397527447,0.017916083638569908,0.054020905681040336,0.0971399158711152,0.026598844368352373,0.08107739540451173,0.14838060216341653,0.02585683278053533,0.07570907706232065,0.13427471567022464,0.021955260977630488,0.6058228348668716,0.09444904722452362,8.644848295931782e-10,0.22700911350455674,6.486146365744601e-55
intermittency,0.02146096459494161,0.04249641800577652,0.12279913627714975,0.17578783713373042,0.02103545341083471,0.10133817168220806,0.15954125872393718,0.7662849563530096,3.714081785977175,6.205244219888055,0.026170780610555548,0.12535547785916215,0.20441414801325208,0.43123446561723283,6.943108115442389e-202,0.7452361226180613,0.0,0.6934548467274234,0.0
event_dry_ratio,40.8469822556916,39.462296464539556,34.144446041589326,26.950910395072047,1.3846857911521424,6.702536214102401,13.896071860619696,0.030468816960816873,0.14977391125091233,0.30846585197190746,1.9172083479562427,8.712520521796073,17.82943421406321,0.03272576636288318,0.15068852660493448,0.12468931234465618,9.166738461194544e-17,0.2431648715824358,4.991187882987807e-63
ni,12.565807761913037,9.199742649439225,5.448110742692373,3.976117259261418,3.37375852615197,7.119518755851076,8.592762324193355,0.20973779295319528,0.45445858594596694,0.5599872485567448,6.114222698368926,11.698525958940117,13.71711552679221,0.11971830985915492,1.746169251784283e-15,0.32974316487158245,1.4898616858085374e-116,0.4784589892294946,1.745691336268045e-250
time_skewness,0.12625025093383505,0.125904563356882,0.12568046275033065,0.12309987177580173,0.0032974867630945026,0.021516187683187138,0.06382549600650285,0.028719131721041867,0.19370831755259968,0.4740169853967752,0.007866206801909062,0.047670555333584635,0.13095447084437248,0.002899751449875725,0.9999999999999999,0.007456503728251864,0.999999901905025,0.014498757249378625,0.9615804152357602
time_kurtosis,3.349822763829325,3.348226517622451,3.338079065422669,3.334326616692653,0.007966636314717892,0.053990956876020645,0.16286932358367284,0.0019469263614451133,0.01289461474664807,0.0419928124081346,0.0305798421486057,0.21897715896734452,0.5054803549018263,0.003728251864125932,1.0,0.012427506213753107,0.9922669934169133,0.028583264291632146,0.2775794740023266
centre_gravity,0.4727832471576674,0.4679846279824049,0.44919725437166713,0.4243554259390043,0.006730384027359311,0.02721989751781206,0.053420180174993316,0.015727597671060564,0.0615176340056769,0.12051210208828954,0.010174037194942606,0.039060795562207755,0.07508888107367373,0.021955260977630488,0.6058228348668716,0.09527754763877382,5.908814573301486e-10,0.1615575807787904,6.6479034153614075e-28
centre_gravity_interpolated,0.47793733651931825,0.4779228201901497,0.47742260090258365,0.47728280297641323,0.0033022412058176715,0.0114432232917094,0.02268160981728026,0.008146356174208612,0.027691581710432185,0.05564026340422998,0.0048680856726028565,0.016932517391279822,0.03392393060457542,0.00579950289975145,0.9999999999992604,0.012427506213753107,0.9922669934169133,0.016984258492129246,0.8772574736819048
m1,1.9514497427127928,1.6667820893762495,1.39738575136633,1.2320098465679017,0.7737329668234506,1.1924268896281776,1.3456399166199051,0.9101174403884901,1.4733240184341299,1.693878878194478,2.6367168186341616,3.0575461962740764,3.15795079216387,0.041425020712510356,0.031755612603835685,0.0932062966031483,1.520269755110305e-09,0.13256006628003314,6.731454233340864e-19
m2,0.10045695673283518,0.14680692198355563,0.2522096338486842,0.3487822907679202,0.046349965250720555,0.15175267711584883,0.24832533403508483,0.5671229941987116,2.1080746781819246,3.7179998419532834,0.06094399487813552,0.1757795281090239,0.2766790749489749,0.2502071251035626,9.543603321021582e-67,0.5749792874896438,0.0,0.7212096106048053,0.0
m3,0.4007244998583374,0.39926246807301224,0.3917074112162835,0.3737065307581439,0.004382776288987662,0.017540425301126865,0.04095884767400069,0.013819465561223956,0.05146741382980136,0.11336812575242708,0.013188239106652526,0.042361729139243146,0.09400039022011644,0.008285004142502071,0.9999970736305313,0.026926263463131733,0.34570995079621286,0.06545153272576636,6.420400493027175e-05
m4,0.37365800939362687,0.37147974945509155,0.3627720973773535,0.35120043053556854,0.004722259187626978,0.018676198463517927,0.039358772675816826,0.015339858985842976,0.058502712819456265,0.12173586351530978,0.012903090745600953,0.043304994438949355,0.087549698559587,0.009942004971002486,0.999767395374555,0.029826014913007456,0.2332165710202845,0.053852526926263466,0.001818729419105539
m5,0.5313118174064647,0.5315005899547192,0.5348090476925611,0.5296137348674373,0.005477741111650553,0.015806294744622258,0.030622293400700943,0.01291563884567523,0.039871535998016995,0.07440692060377346,0.016390633964256617,0.038949954202290804,0.06727186785333181,0.006213753106876553,0.9999999999647647,0.01739850869925435,0.8584304020086064,0.016570008285004142,0.8948580526105957
m1_wi,1.9514497427127928,1.6667820893762495,1.39738575136633,1.2320098465679017,0.7737329668234506,1.1924268896281776,1.3456399166199051,0.9101174403884901,1.4733240184341299,1.693878878194478,2.6367168186341616,3.0575461962740764,3.15795079216387,0.041425020712510356,0.031755612603835685,0.0932062966031483,1.520269755110305e-09,0.13256006628003314,6.731454233340864e-19
m2_wi,0.10045695673283518,0.14680692198355563,0.2522096338486842,0.3487822907679202,0.046349965250720555,0.15175267711584883,0.24832533403508483,0.5671229941987116,2.1080746781819246,3.7179998419532834,0.06094399487813552,0.1757795281090239,0.2766790749489749,0.2502071251035626,9.543603321021582e-67,0.5749792874896438,0.0,0.7212096106048053,0.0
